source_platform,offer_id,sku_name,sku_price,stock_text,stock_quantity,collected_at
1688,1011690137966,阿尔法YU7意向金,800,库存1995台,1995,2026-07-15 19:13:18
1688,1011690137966,阿尔法YU7整机,3380,库存3333台,3333,2026-07-15 19:13:18
